btle,date,press,fluo,depth,fluo_volt,temp,fuco,peri,hex,but,allo,tchlb,zea,dvchla,chla,tchla,phytinea,profile,ze,wdp,micro,nano,pico,amicro,anano,apico,microfluo,nanofluo,picofluo,optical_layer,ratio
11,2013-01-24,5.102,0.2305,5,1.3182,13.1785,0.0291,0.0031,0.0423,0.0201,0.0097,0.044,0.0094,0.0068,0.2193,0.2261,0,1,81.81601199323963,0.20724,0.23281219841729398,0.6318037058482918,0.21498745415942866,0.01721120100301606,0.08522376003612968,0.13354815118265342,9.059776224528788e-4,0.01217428382501813,0.006491597126586362,1.1222230191912335,1.0194604157452456
1,2013-02-14,407.401,0.1838,407,1.2276,13.2855,0.0144,0.0011,0.02,0.0112,0.0035,0.0209,0.0036,0,0.1088,0.1088,0.0012,2,103.62056929299467,0.093957,0.2498589780431474,0.6218163628042616,0.21134135828091574,0.3651238774231267,0.014958426479085542,0.009266944261108464,0.00992576730128381,0.0010119917048991922,2.1308355829347453e-4,8.855426059511366,1.6893382352941178
2,2013-02-14,148.895,0.1987,149,1.2586,13.2302,0.0191,0.0017,0.0267,0.0149,0.0045,0.0263,0.0043,0,0.1398,0.1398,0.0024,2,103.62056929299467,0.12270199999999999,0.25557855617675346,0.6284738635067074,0.20081172271030628,0.05107283260420173,0.04586529353433214,0.05164804560248405,0.0018248262901940778,0.004029754324329052,0.0014499403150853283,3.8758193682240623,1.421316165951359
3,2013-02-14,80.599,0.2006,81,1.2625,13.2771,0.0192,0.0015,0.0243,0.0122,0.0045,0.0284,0.0049,0,0.142,0.142,0.0017,2,103.62056929299467,0.119587,0.2620017225952654,0.5915107829446344,0.22573523878013496,0.030411560554933374,0.061621871369610254,0.08122785303456102,0.001131439137812793,0.005175900196009942,0.0026037104096503162,2.563364891450665,1.4126760563380283
4,2013-02-14,70.013,0.2014,70,1.2639,13.2792,0.0177,0.0015,0.0224,0.0113,0.0041,0.0261,0.0046,0,0.1313,0.1313,0.0016,2,103.62056929299467,0.11024099999999999,0.26298745475821156,0.5898894240799704,0.22636768534392834,0.027965151881600585,0.06463701927237661,0.08740095516236651,9.65643764334813e-4,0.005006297531762341,0.0025977379266959775,2.351056079031439,1.533891850723534
5,2013-02-14,60.313,0.2008,60,1.2628,13.2714,0.0181,0.0014,0.0234,0.0119,0.0044,0.0261,0.0046,0,0.1334,0.1334,0.002,2,103.62056929299467,0.113945,0.2591074641274299,0.6019746368862171,0.21900917109131599,0.025912344328682307,0.06750589797605007,0.09341905196084509,8.956585159354618e-4,0.005420954245469555,0.00272931452648644,2.158048067741233,1.5052473763118441
6,2013-02-14,50.358,0.2073,50,1.2755,13.2996,0.0164,0.0014,0.0216,0.0111,0.0044,0.0246,0.0044,0,0.1233,0.1233,0.0015,2,103.62056929299467,0.10712400000000001,0.25084948284231356,0.6073148874201859,0.22047346999738618,0.02401022499183951,0.07050211028992154,0.09985153197754568,7.426300459786949e-4,0.005279333778706018,0.0027144018740981623,1.9650400564510278,1.6812652068126521
7,2013-02-14,40.793,0.1955,41,1.2521,13.3007,0.0144,0.0011,0.0189,0.0095,0.0045,0.022,0.0039,0,0.1132,0.1132,0.0014,2,103.62056929299467,0.097003,0.24201313361442428,0.6167747389256002,0.2171994680576889,0.022417996705568047,0.0733122375501968,0.10601860405015469,6.141608983505915e-4,0.005118579815018401,0.0026066772745228766,1.7913328462898428,1.7270318021201414
8,2013-02-14,29.734,0.1962,30,1.2536,13.3414,0.0147,0.0011,0.0186,0.0092,0.0063,0.0213,0.0042,0,0.1207,0.1207,0.0014,2,103.62056929299467,0.105439,0.22708864841282636,0.6421722512542796,0.19953717315224914,0.020614617313702184,0.0768993931231059,0.11407573772781712,5.650384119062747e-4,0.005960486627715701,0.002747415672937947,1.5790240338706165,1.6255178127589065
9,2013-02-14,20.025,0.2004,20,1.2619,13.3174,0.0149,0.0011,0.0195,0.0097,0.0073,0.0219,0.0043,0,0.1271,0.1271,0.001,2,103.62056929299467,0.112634,0.215352380275938,0.6603601044089706,0.1918070919970879,0.019101382474097026,0.08031253057498362,0.12193055843004515,5.228294319776865e-4,0.006740772785739878,0.0029725062360158967,1.386016022580411,1.5767112509834778
10,2013-02-14,10.216,0.1919,10,1.2447,13.3164,0.0159,0.0012,0.0211,0.0109,0.0081,0.0236,0.0042,0,0.1399,0.1399,0.0012,2,103.62056929299467,0.122164,0.21207557054451398,0.6700746537441472,0.18521004551258965,0.017699228022012466,0.0838771582635497,0.13032623216108602,5.251249859471075e-4,0.007862933693490705,0.0033768680618664654,1.1930080112902055,1.3716940671908506
11,2013-02-14,5.251,0.1929,5,1.2468,13.3034,0.0165,0.0012,0.0214,0.0111,0.0076,0.0232,0.0043,0,0.1398,0.1398,0.0014,2,103.62056929299467,0.121115,0.22164058952235483,0.6614870164719481,0.18578210791396604,0.01703723391754085,0.0857183706324785,0.13473842859421836,5.279047311900991e-4,0.007926882176662778,0.0034994721015186503,1.0965040056451028,1.3798283261802573
1,2013-02-16,400.962,0.189,401,1.2387,13.2673,0.0135,0.0011,0.0174,0.0099,0.0031,0.0183,0.0035,0,0.1014,0.1014,0.0013,3,104.38040424343586,0.08445,0.2613617525162818,0.6068916518650089,0.2121018354055654,0.3411212431268112,0.015549185121287232,0.009833992194575631,0.00904042305670942,9.568784032420607e-4,2.1150091029471644e-4,8.683280843120778,1.863905325443787
2,2013-02-16,150.309,0.1747,150,1.2075,13.3415,0.0087,0.0012,0.0121,0.0062,0.0023,0.0135,0.0026,0,0.0699,0.0699,0.001,3,104.38040424343586,0.058832999999999996,0.24945183825404108,0.6056974827052845,0.2250607652168001,0.051037052831324634,0.04588360639076688,0.05167966900660265,8.899169366841937e-4,0.0019426317836940994,8.130115031091082e-4,3.8740452031623867,2.4992846924177394
3,2013-02-16,80.306,0.1672,80,1.1902,13.4816,0.0033,0,0.0039,0.0019,7e-4,0.0069,0.001,0,0.0266,0.0266,0,3,104.38040424343586,0.021085,0.24415461228361393,0.5305667536163149,0.29741522409295706,0.03004688415561603,0.06204678367220421,0.08208825811443456,1.951398703457795e-4,8.756709515688511e-4,6.494203183546344e-4,2.5328241083532728,6.285714285714286
4,2013-02-16,70.865,0.1696,71,1.1959,13.4869,0.0033,0,0.0036,0.0017,6e-4,0.0065,9e-4,0,0.0249,0.0249,0,3,104.38040424343586,0.019638,0.2621448212648946,0.5117629086465016,0.2975863122517568,0.02806835354500694,0.06450153758787312,0.08712021203753174,1.8321354072906728e-4,8.219364127547259e-4,6.455519873087205e-4,2.36038139616353,6.811244979919679
5,2013-02-16,60.295,0.1848,60,1.2296,13.4364,0.0118,4e-4,0.0129,0.0065,0.0018,0.0164,0.0029,0,0.0777,0.0777,0.001,3,104.38040424343586,0.064189,0.29251117792768233,0.5413544376762375,0.24451229961519888,0.025826202024370207,0.06763406365639577,0.09369114774901989,5.869809806599882e-4,0.0028449078387308845,0.0017800011717997069,2.149618081264954,2.378378378378378
6,2013-02-16,50.544,0.2244,51,1.3074,13.2944,0.0277,0.0018,0.0342,0.0152,0.0057,0.0359,0.0068,0,0.1928,0.1928,0.0019,3,104.38040424343586,0.161075,0.27855346888095606,0.586720471829893,0.21753220549433494,0.024125595365911072,0.07030986686112359,0.09943435084900451,0.0012956677239970209,0.007953431536345878,0.0041702974781933026,1.9771753690752112,1.1639004149377592
7,2013-02-16,40.959,0.2315,41,1.3199,13.2928,0.0289,0.0021,0.038,0.0166,0.007,0.0396,0.0075,0,0.2143,0.2143,0.0025,3,104.38040424343586,0.178757,0.2630162734885907,0.6036798558937552,0.21620971486431304,0.022367043905533488,0.07340732181344065,0.10622951589892235,0.0012607047278767665,0.009496601947567417,0.004922010971336326,1.7855723555310523,1.0802613159122727
8,2013-02-16,31.294,0.2243,31,1.3073,13.2933,0.0296,0.0021,0.0385,0.0166,0.0078,0.0389,0.0078,0,0.2195,0.2206,0.002,3,104.38040424343586,0.18421900000000002,0.26114570158344147,0.6107241924014352,0.2096363567275905,0.020736675944542864,0.07664123310695066,0.11348905033086332,0.001194613809642974,0.010325548135772702,0.005248389687387896,1.5939693419868932,1.016772438803264
9,2013-02-16,20.825,0.2225,21,1.3039,13.2626,0.0297,0.0022,0.0377,0.0167,0.0086,0.0395,0.0089,0,0.225,0.2263,0.0026,3,104.38040424343586,0.18958799999999998,0.2550583370255502,0.6078496529316202,0.2146443867755343,0.019225147992068835,0.08001761223603804,0.12124468831484045,0.001109669806642319,0.011006932792044774,0.005889342488259255,1.4023663284427341,0.9832081307998233
10,2013-02-16,10.934,0.2122,11,1.2849,13.2682,0.029,0.0022,0.0368,0.0162,0.0107,0.0373,0.008,0,0.2288,0.23,0.0023,3,104.38040424343586,0.19418100000000002,0.24340177463294552,0.6357573604008631,0.19475128874606681,0.017823797618548173,0.08354273552751944,0.1295303326770818,9.978191133422115e-4,0.012215969074517928,0.005802025820730744,1.210763314898575,0.9226086956521738
11,2013-02-16,4.758,0.2047,5,1.2705,13.2811,0.0286,0.002,0.0366,0.0163,0.0106,0.0363,0.0081,0,0.2253,0.2253,0.002,3,104.38040424343586,0.192232,0.24166631986349832,0.6386657788505555,0.19392192767073116,0.01703250686701726,0.08573192081255693,0.13477108869504587,9.273760868111911e-4,0.012336086108267242,0.005888231116450143,1.0958015067720797,0.9085663559698179
1,2013-04-11,200.755,0.1717,201,1.2006,13.3893,0.0151,0,0.0061,0.0021,0.001,0.0031,0.0013,0,0.0443,0.0443,0.0035,4,35.226797198742624,0.041432000000000004,0.5685460513612666,0.38986773508399303,0.09900559953659006,1.4876147536836881,0.0067203042873432905,0.0027171139882997777,0.037467942991005546,1.160673206530727e-4,1.1917120824344756e-5,12.411538718460202,3.875846501128668
2,2013-04-11,150.358,0.1948,150,1.2508,13.2528,0.0307,0,0.0143,0.006,0.0022,0.0083,0.0031,0,0.1022,0.1022,0.0045,4,35.226797198742624,0.09099600000000001,0.526308848740604,0.4206009055343092,0.11437865400676953,0.473995444863726,0.012892246701052525,0.0073781704661068275,0.02549562928261975,5.541785430844759e-4,8.624711214986058e-5,9.516073670492688,1.9060665362035225
3,2013-04-11,80.154,0.2245,80,1.3076,13.1819,0.0836,0.0021,0.0257,0.0108,0.0047,0.0232,0.0049,0,0.2516,0.2516,0.0096,4,35.226797198742624,0.21811499999999998,0.6067808266281549,0.3318570478875823,0.10731494853632258,0.09862946682460333,0.031526602678909846,0.0290680893409146,0.01505737170348731,0.002632321044208858,7.848512327360403e-4,5.541905957596101,0.8922893481717011
4,2013-04-11,71.054,0.228,71,1.3138,13.1728,0.0886,0.0023,0.0285,0.011,0.0056,0.0296,0.0058,0,0.2783,0.2783,0.0094,4,35.226797198742624,0.239534,0.5858542002387971,0.3387201816861072,0.1218282164536141,0.08060293687695433,0.035367772099033606,0.03467181943228945,0.013141762686359361,0.003333972270615829,0.0011755408482700392,5.030941537366538,0.8192597915918075
5,2013-04-11,59.905,0.2292,60,1.316,13.1637,0.08,0.0026,0.0297,0.0098,0.0065,0.0336,0.0059,0,0.2688,0.2688,0.0093,4,35.226797198742624,0.23374499999999998,0.5441485379366404,0.3681062696528268,0.13729919356563777,0.06298193161916217,0.040703701679350016,0.04300808881134309,0.009212186190679598,0.004027507756943203,0.0015872575247684022,4.406429468197075,0.8526785714285714
6,2013-04-11,49.452,0.2579,49,1.3638,13.1237,0.1213,0.0037,0.0423,0.0137,0.0101,0.0583,0.0087,0,0.4164,0.4178,0.0117,4,35.226797198742624,0.35582600000000003,0.5413657236964133,0.3550246468779684,0.14997217741255556,0.04921314116055453,0.04684466202061938,0.05334867721080063,0.01113115619038262,0.00694843580753266,0.0033427414609975645,3.7819173990276114,0.6172809956917186
7,2013-04-11,40.678,0.3219,41,1.4545,13.1554,0.1642,0.0049,0.0635,0.0203,0.0248,0.1124,0.015,0,0.637,0.6404,0.0137,4,35.226797198742624,0.571732,0.4559129102446602,0.41213540609936117,0.17526743299308067,0.04113057701354457,0.05188511733179189,0.062398926540035066,0.012008755866850341,0.013694117574873493,0.007003734392635764,3.327726803268001,0.5026545908806996
8,2013-04-11,30.72,0.4219,31,1.5667,13.2274,0.195,0.0098,0.1777,0.0386,0.0427,0.1655,0.0332,0,1.0236,1.0308,0.015,4,35.226797198742624,0.9208989999999999,0.34011981769987815,0.5566940565686357,0.17844193554342008,0.03286771008268778,0.05895507141148517,0.07590037948250443,0.01152327151603153,0.033830791945421365,0.013960959990536995,2.759988558568489,0.40929375242530075
9,2013-04-11,20.715,0.6126,21,1.7233,13.2918,0.2397,0.0209,0.2684,0.0547,0.0804,0.206,0.0499,0,1.4736,1.4864,0.0139,4,35.226797198742624,1.3529710000000001,0.29059011612222285,0.626028200160979,0.16074919565903478,0.026264799682335364,0.06698838942402523,0.0923231844684382,0.011344637624246343,0.06233459325047377,0.02205948053001504,2.192250313868976,0.41213670613562975
10,2013-04-11,10.544,0.7638,11,1.8166,13.344,0.2721,0.038,0.3586,0.0665,0.1725,0.2593,0.069,0,2.0552,2.0789,0.0182,4,35.226797198742624,2.040005,0.2252131734971238,0.7045649397918142,0.13877760103529158,0.020988371280436697,0.07611634097267239,0.11229944367218889,0.00982666447794146,0.11148913100902093,0.032398923459952926,1.6245120691694637,0.3674058396267257
11,2013-04-11,4.568,0.6898,5,1.7734,13.4165,0.2462,0.03,0.3377,0.0624,0.1742,0.2315,0.0694,0,1.867,1.8963,0.0161,4,35.226797198742624,1.9542329999999999,0.210656559376492,0.7213750867987594,0.1353620576461456,0.01834600575398364,0.0821797702700212,0.12630417371835226,0.007328642841960874,0.11241728890814037,0.03242064826972143,1.2838691223497563,0.36376100827928065
1,2013-04-14,399.159,0.1689,399,1.1942,13.3058,0.0075,0,0.003,0.0012,8e-4,0.0011,6e-4,0,0.0224,0.0224,0.0016,5,45.885764592259484,0.021789000000000003,0.53696819496076,0.44031391986782314,0.07641470466749276,15.783684911707157,0.0017503271661263814,3.45324701255848e-4,0.18984754424986053,1.72635325087287e-5,5.910886253631697e-7,18.390666744034302,7.540178571428571
2,2013-04-14,150.683,0.1762,151,1.2107,13.3921,0.0278,0,0.0073,0.003,0.0011,0.003,0.001,0,0.0724,0.0724,0.0048,5,45.885764592259484,0.06346399999999999,0.6833480398336065,0.30510210513046765,0.05640993319047019,0.22074281380120606,0.019924090359448518,0.014382195604457573,0.010921117844172807,4.401110503909637e-4,5.873802538621215e-5,7.581430271551828,2.4337016574585633
3,2013-04-14,80.118,0.1931,80,1.2472,13.2449,0.0389,0.001,0.0114,0.0051,0.0017,0.0063,0.0021,0,0.1111,0.1111,0.0041,5,45.885764592259484,0.09525199999999999,0.6467475748540713,0.3210011338344602,0.07892747658841809,0.0650147923468679,0.03997378843693087,0.04183119728335571,0.004671550496005539,0.001425594249863606,3.668111867959035e-4,4.4868504749943465,1.738073807380738
4,2013-04-14,69.906,0.2016,70,1.2643,13.1883,0.0584,0.0019,0.0167,0.0078,0.0029,0.0093,0.0027,0,0.1621,0.1621,0.0064,5,45.885764592259484,0.14392600000000003,0.6451370843350054,0.32720286814057215,0.07291246890763307,0.05473197731832055,0.04409267113398203,0.048619070049248966,0.00572369074208572,0.002338656975206807,5.7463419583532e-4,4.050994165620053,1.2436767427513882
5,2013-04-14,60.161,0.1757,60,1.2098,13.2797,0.0202,0.0012,0.0079,0.004,0.0021,0.0056,0.0011,0,0.063,0.063,0.0027,5,45.885764592259484,0.061149,0.5333856645243585,0.4266463883301444,0.09035307200444816,0.04607550425126396,0.048635961807746084,0.05650839865858491,0.001548288847561386,0.0013072725192389755,3.216595670098766e-4,3.6151378562457595,2.7888888888888888
6,2013-04-14,49.879,0.1736,50,1.2049,13.2875,0.011,8e-4,0.0042,0.0028,0.0016,0.0032,5e-4,0,0.034,0.034,0.0014,5,45.885764592259484,0.036099,0.4957478046483282,0.4675475774952215,0.08207983600653758,0.03878814901316605,0.05364739128134807,0.06567791436000299,6.537907504680758e-4,8.528120663061071e-4,1.8328830295729582e-4,3.1792815468714664,5.105882352941176
7,2013-04-14,40.234,0.1997,40,1.2606,13.2792,0.0509,0.0026,0.0186,0.0105,0.0051,0.0313,0.0074,0,0.1982,0.1982,0.0041,5,45.885764592259484,0.170589,0.47949164365814917,0.3709266130875965,0.1921050009086166,0.032653370338888967,0.05917519638391701,0.07633535079877116,0.003103221010167835,0.0043504216553836815,0.002906484602169296,2.7434252374971733,1.0075681130171543
8,2013-04-14,29.644,0.3529,30,1.4925,13.3312,0.1669,0.01,0.0899,0.026,0.0242,0.1303,0.0397,0,0.7894,0.7935,0.0116,5,45.885764592259484,0.6627859999999999,0.40671347916220324,0.42008883712088063,0.22609711128478877,0.027488875381156082,0.06527258424758864,0.08872215018325963,0.00887140629068156,0.02175799536387449,0.01591746864861599,2.3075689281228797,0.44473850031505985
9,2013-04-14,20.232,0.4554,20,1.5986,13.3623,0.1936,0.0191,0.1532,0.0304,0.0356,0.1381,0.047,0,0.9998,1.006,0.0126,5,45.885764592259484,0.8593189999999999,0.3719084530890158,0.5041433972715604,0.19347762588747602,0.023141202941026617,0.07199824444548027,0.10311893311254156,0.008658047442346689,0.03651522418964668,0.02007091360083996,1.8717126187485866,0.45268389662027836
10,2013-04-14,9.56,0.4617,10,1.6044,13.4091,0.2035,0.0643,0.2432,0.0401,0.0849,0.1058,0.0636,0,1.4199,1.442,0.0129,5,45.885764592259484,1.26646,0.29737694044817836,0.6440424490311577,0.13347282977749003,0.01948116342092629,0.07941691390015146,0.11985185598303033,0.008353864732808853,0.0737552194882057,0.02306762550862481,1.4358563093742933,0.32018030513176143
11,2013-04-14,5.202,0.4361,5,1.5805,13.5212,0.1971,0.0785,0.2523,0.0403,0.0999,0.1648,0.0658,0,1.4971,1.5176,0.0157,5,45.885764592259484,1.395968,0.2719947735191638,0.645859360673024,0.15263243856592698,0.01787431341627396,0.0834081630156981,0.12921053957954098,0.007378146013203651,0.08175302525433327,0.029929681884169078,1.2179281546871465,0.28736162361623613
1,2013-05-15,399.709,0.1561,400,1.1631,13.2865,0.0039,0,0.001,0,3e-4,0.0013,0.001,0,0.0107,0.0107,0.0014,6,38.377273876443695,0.011051,0.55053841281332,0.26694416794860193,0.21780834313636774,61.779144659390084,8.045317644432655e-4,1.0486028976129347e-4,0.36392617702947266,2.2979861681885505e-6,2.443820719186623e-7,21.84525344076174,14.588785046728972
2,2013-05-15,200.646,0.1637,201,1.1818,13.3857,0.004,7e-4,0.0012,6e-4,0,0.0013,7e-4,0,0.0113,0.0113,0.002,6,38.377273876443695,0.010794000000000002,0.6377617194737818,0.22456920511395215,0.18102649620159345,1.0275024467144835,0.008297194075610689,0.0037538138711300717,0.007404909517135659,2.1055225344067764e-5,7.678799429064869e-6,11.474739853982776,14.486725663716816
3,2013-05-15,99.219,0.1743,99,1.2065,13.1841,0.015,0.0038,0.0071,0.0042,4e-4,0.0029,0.0012,0,0.0411,0.0411,0.002,6,38.377273876443695,0.04486500000000001,0.5994873509417139,0.3772428396300011,0.08498829822801736,0.12586453153439653,0.027438241912444494,0.023492241181171967,0.00310116739752879,4.254211800630749e-4,8.20588461415031e-5,6.159200226588531,4.24087591240876
4,2013-05-15,71.142,0.2018,71,1.2649,13.2335,0.0372,0.0053,0.0546,0.0206,0.0038,0.0084,0.0017,0,0.1684,0.1684,0.0033,6,38.377273876443695,0.171675,0.3664365807485074,0.7088859764089123,0.04871414009028687,0.0707267172071956,0.03810162905264039,0.038864962701307654,0.00436439862129158,0.004548435250515696,3.1882721321778033e-4,4.70003248573521,1.1983372921615203
5,2013-05-15,60.191,0.2196,60,1.2986,13.2079,0.0603,0.008,0.0907,0.0306,0.0049,0.0133,0.0025,0,0.2589,0.2589,0.004,6,38.377273876443695,0.27069599999999994,0.3746933829831251,0.7081338475633184,0.047847031356207714,0.05639538352840105,0.043347092203110796,0.047364189168419724,0.005470809955367948,0.007947076129941683,5.867284600899775e-4,4.126788016114261,0.8482039397450752
6,2013-05-15,50.277,0.2479,50,1.3477,13.1688,0.0929,0.0133,0.1402,0.035,0.0061,0.0157,0.0032,0,0.3657,0.3657,0.0053,6,38.377273876443695,0.394829,0.3980457362554422,0.700764128268187,0.03967540378239694,0.045903267787304095,0.04873982800994483,0.05669354430074749,0.006681924128384837,0.012490528513036711,8.225833681087796e-4,3.6056566800952177,0.67787804211102
7,2013-05-15,39.833,0.3683,40,1.5102,13.1589,0.2277,0.0543,0.3119,0.0671,0.0106,0.0467,0.0134,0,0.8854,0.8896,0.0092,6,38.377273876443695,0.926275,0.4374165339666946,0.6372740276915603,0.05663220965695932,0.037363164530866196,0.054803464631671864,0.06786050857857547,0.014538969368764912,0.031069123997322062,0.0034188133526125973,3.084525344076174,0.4140062949640288
8,2013-05-15,30.434,1.2257,30,2.0184,13.2944,0.2757,0.2708,1.2364,0.1624,0.0191,0.0865,0.0723,0,2.52,2.5305,0.0168,6,38.377273876443695,2.4901820000000003,0.2727623924676991,0.8530669645833113,0.06780950147418943,0.03041191032910917,0.06162146766340855,0.08122703706993668,0.02099106792753924,0.1330213967023517,0.013937905153987884,2.5633940080571307,0.4843706777316736
9,2013-05-15,19.945,0.4349,20,1.5793,13.9626,0.1154,0.0612,0.3303,0.0812,0.0129,0.0735,0.0914,0,0.9755,0.9841,0.0065,6,38.377273876443695,0.939737,0.25148312772616166,0.6847628645035791,0.20083172206691868,0.024753906728155164,0.06928768650874739,0.09722637936792444,0.0061262093682278715,0.04669124909700782,0.01921567555373101,2.042262672038087,0.4419266334722081
10,2013-05-15,9.995,0.2526,10,1.3553,16.8153,0.0392,0.0182,0.0997,0.0306,0.0065,0.0174,0.0419,0,0.3572,0.3602,0.003,6,38.377273876443695,0.327247,0.23803426769382147,0.6507592124603128,0.23002502696739774,0.020148550080384065,0.07790764621117925,0.11637712251964248,0.0017275355399242387,0.01826182248118713,0.009642428198698004,1.5211313360190435,0.7012770682953914
11,2013-05-15,5.099,0.2328,5,1.3221,17.3554,0.033,0.0116,0.0881,0.0287,0.008,0.0112,0.029,0,0.3087,0.3117,0.0023,6,38.377273876443695,0.28001600000000004,0.22195874521455916,0.7167626135649391,0.18398234386606477,0.018177904756002512,0.08261180186934129,0.12732373371444225,0.0012576299947658087,0.018456708002677777,0.007301671919383706,1.2605656680095216,0.7468719923002888
1,2013-06-08,200.132,0.1655,200,1.1863,13.4247,0.0055,0,0.0032,0.0011,0,0.0019,0.0013,0,0.016,0.016,0.0066,7,79.28361119849386,0.01656,0.5181159420289855,0.3595410628019325,0.19770531400966185,0.12031664654763077,0.02815192545495437,0.024435650950275195,9.974075626847073e-4,1.6194837116792113e-4,7.72969287064744e-5,6.04507796899639,10.34375
2,2013-06-08,149.955,0.1661,150,1.1876,13.3538,0.0095,0.0013,0.0052,0.0022,0,0.0037,0.0012,0,0.0287,0.0287,0.0077,7,79.28361119849386,0.028449,0.5629723364617385,0.35488066364371335,0.15343245808288514,0.07310637521761951,0.037390141130580076,0.03775771584405007,0.0011812020790688885,3.808213934169727e-4,1.66266537706819e-4,4.783808476747293,5.7874564459930316
3,2013-06-08,80.098,0.2023,80,1.2659,13.2723,0.0351,0.0047,0.0388,0.0158,0,0.014,0.0015,0,0.1463,0.1463,0.0066,7,79.28361119849386,0.130577,0.4524533417064261,0.5721068794657559,0.09132542484511055,0.036394570316169286,0.05562957028800973,0.0694352870100074,0.002409099417577819,0.004656152558029199,9.277185965985717e-4,3.0180311875985564,1.3827751196172249
